30.0,10.0,36.0
32.0,10.0,36.0
33.0,10.0,36.0
35.0,11.0,36.0
36.0,13.0,36.0
37.0,14.0,36.0
38.0,15.0,36.0
39.0,16.0,36.0
40.0,18.0,36.0
40.0,19.0,36.0
40.0,21.0,36.0
41.0,23.0,36.0
41.0,26.0,36.0
40.0,28.0,36.0
40.0,29.0,36.0
39.0,31.0,36.0
38.0,32.0,36.0
36.0,32.0,36.0
34.0,33.0,36.0
32.0,33.0,36.0
30.0,33.0,36.0
29.0,32.0,36.0
27.0,31.0,36.0
26.0,30.0,36.0
25.0,29.0,36.0
24.0,28.0,36.0
23.0,26.0,36.0
23.0,24.0,36.0
23.0,22.0,36.0
23.0,20.0,36.0
23.0,18.0,36.0
24.0,17.0,36.0
24.0,15.0,36.0
25.0,14.0,36.0
26.0,13.0,36.0
27.0,11.0,36.0
29.0,10.0,36.0
30.0,10.0,36.0
